,estimate,p.value,statistic,n,gp,Method
LSL_subj_corr    LeftIFGorb_GMV,0.271529973,0.27573884,1.128518344,19,1,pearson
LSL_subj_corr    LeftIFGorb_CT,0.101130675,0.689683473,0.406607315,19,1,pearson
LSL_subj_corr    LeftMFG_GMV,-0.124961187,0.621272086,-0.503793667,19,1,pearson
LSL_subj_corr    LeftMFG_CT,-0.094510822,0.709129325,-0.379743079,19,1,pearson
LSL_subj_corr    LeftMidAntTemp_GMV,0.192316048,0.444551032,0.783897168,19,1,pearson
LSL_subj_corr    LeftMidAntTemp_CT,0.060485925,0.811559552,0.242387501,19,1,pearson
LSL_subj_corr    LeftMidPostTemp_GMV,-0.102403579,0.685964996,-0.411779065,19,1,pearson
LSL_subj_corr    LeftMidPostTemp_CT,0.001772868,0.994429529,0.007091484,19,1,pearson
LSL_subj_corr    LeftPostTemp_GMV,-0.217862583,0.385144809,-0.892898235,19,1,pearson
LSL_subj_corr    LeftPostTemp_CT,-0.289054294,0.244684735,-1.20777377,19,1,pearson
LSL_subj_corr    RightMidAntTemp_GMV,-0.246907991,0.323278603,-1.019187091,19,1,pearson
LSL_subj_corr    RightMidAntTemp_CT,0.092130105,0.716165456,0.370094441,19,1,pearson
LSL_subj_corr    RightMidPostTemp_GMV,0.427724922,0.076621445,1.892778785,19,1,pearson
LSL_subj_corr    RightMidPostTemp_CT,-0.194566065,0.439137718,-0.793427114,19,1,pearson
LSL_subj_corr    SSL_accuracy,-0.176374347,0.483870502,-0.716733501,19,1,pearson
LSL_subj_corr    mean_rt,-0.338741758,0.169117566,-1.440107044,19,1,pearson
LSL_subj_corr    scaled_rt_slope,-0.409534795,0.091462491,-1.795625408,19,1,pearson
LSL_subj_corr    TSL_subj_corr,0.333722295,0.175927876,1.416070473,19,1,pearson
LSL_subj_corr    VSL_subj_corr,0.109666829,0.664880487,0.441329236,19,1,pearson
LSL_subj_corr    eTIV,1.000000001,NA,NA,19,1,pearson
eTIV    LeftAngG_GMV,0.739051725,0.000458193,4.388351041,19,1,pearson
eTIV    LeftAngG_CT,-1,1.45E-82,-470849.5538,19,1,pearson
eTIV    LeftIFG_GMV,0.744396309,0.000395561,4.459211412,19,1,pearson
eTIV    LeftIFG_CT,1,9.10E-85,646294.148,19,1,pearson
eTIV    LeftIFGorb_GMV,0.591671857,0.00969496,2.935685167,19,1,pearson
eTIV    LeftIFGorb_CT,1,6.24E-77,209263.0981,19,1,pearson
eTIV    LeftMFG_GMV,0.585618479,0.010663232,2.889849493,19,1,pearson
eTIV    LeftMFG_CT,1,4.46E-78,246779.3291,19,1,pearson
eTIV    LeftMidAntTemp_GMV,0.664703834,0.002617315,3.558814827,19,1,pearson
eTIV    LeftMidAntTemp_CT,1,6.18E-78,241791.4574,19,1,pearson
eTIV    LeftMidPostTemp_GMV,0.525421856,0.025138357,2.470126963,19,1,pearson
eTIV    LeftMidPostTemp_CT,-0.999999999,3.77E-71,-91071.13977,19,1,pearson
eTIV    LeftPostTemp_GMV,0.090765858,0.720207316,0.364568274,19,1,pearson
eTIV    LeftPostTemp_CT,1,NA,NA,19,1,pearson
eTIV    RightMidAntTemp_GMV,-1,4.74E-87,-897782.4659,19,1,pearson
eTIV    RightMidAntTemp_CT,-0.999999997,9.43E-68,-55844.16036,19,1,pearson
eTIV    RightMidPostTemp_GMV,0.727562428,0.00062137,4.242090006,19,1,pearson
eTIV    RightMidPostTemp_CT,-1,8.61E-76,-177605.5219,19,1,pearson
eTIV    SSL_accuracy,-1,6.23E-74,-135895.0356,19,1,pearson
eTIV    mean_rt,0.560020305,0.015648164,2.703848307,19,1,pearson
eTIV    scaled_rt_slope,-1.000000003,NA,NA,19,1,pearson
eTIV    TSL_subj_corr,-1,1.79E-74,-146931.4393,19,1,pearson
eTIV    VSL_subj_corr,-1.000000001,NA,NA,19,1,pearson
eTIV    LSL_subj_corr,1,1.45E-78,264743.5372,19,1,pearson
