,estimate,p.value,statistic,n,gp,Method
LeftMidAntTemp_GMV    RightMidAntTemp_GMV,0.129150751,0.609525626,0.52096611,19,1,pearson
LeftMidAntTemp_GMV    RightMidAntTemp_CT,-0.086905254,0.731683139,-0.348941205,19,1,pearson
LeftMidAntTemp_GMV    RightMidPostTemp_GMV,0.261553553,0.294452358,1.083947547,19,1,pearson
LeftMidAntTemp_GMV    RightMidPostTemp_CT,0.049591796,0.845068355,0.198611561,19,1,pearson
LeftMidAntTemp_GMV    SSL_accuracy,-0.523187027,0.025878431,-2.455649109,19,1,pearson
LeftMidAntTemp_GMV    mean_rt,0.101496764,0.688613335,0.408094511,19,1,pearson
LeftMidAntTemp_GMV    scaled_rt_slope,0.391010924,0.10861187,1.699334444,19,1,pearson
LeftMidAntTemp_GMV    TSL_subj_corr,0.079726753,0.753164606,0.319925413,19,1,pearson
LeftMidAntTemp_GMV    VSL_subj_corr,-0.713845074,0.000877271,-4.077345984,19,1,pearson
LeftMidAntTemp_GMV    LSL_subj_corr,0.192316048,0.444551032,0.783897168,19,1,pearson
LeftMidAntTemp_GMV    eTIV,0.664703834,0.002617315,3.558814828,19,1,pearson
LeftMidAntTemp_CT    LeftAngG_GMV,0.105478635,0.677010384,0.424281365,19,1,pearson
LeftMidAntTemp_CT    LeftAngG_CT,-0.009847906,0.969063995,-0.039393534,19,1,pearson
LeftMidAntTemp_CT    LeftIFG_GMV,-0.071770039,0.777177459,-0.287822392,19,1,pearson
LeftMidAntTemp_CT    LeftIFG_CT,0.210120742,0.402665696,0.859674827,19,1,pearson
LeftMidAntTemp_CT    LeftIFGorb_GMV,-0.081751749,0.747086627,-0.328105255,19,1,pearson
LeftMidAntTemp_CT    LeftIFGorb_CT,0.159861211,0.526316937,0.64777556,19,1,pearson
LeftMidAntTemp_CT    LeftMFG_GMV,0.044522865,0.860749915,0.178268237,19,1,pearson
LeftMidAntTemp_CT    LeftMFG_CT,0.342151891,0.16459393,1.456516089,19,1,pearson
LeftMidAntTemp_CT    LeftMidAntTemp_GMV,0.460506677,0.054459133,2.075157731,19,1,pearson
LeftMidAntTemp_CT    LeftMidPostTemp_GMV,0.225365529,0.368573845,0.925265228,19,1,pearson
LeftMidAntTemp_CT    LeftMidPostTemp_CT,0.44761443,0.06250825,2.002241486,19,1,pearson
LeftMidAntTemp_CT    LeftPostTemp_GMV,0.236293653,0.345169455,0.97272041,19,1,pearson
LeftMidAntTemp_CT    LeftPostTemp_CT,0.256408016,0.304396981,1.061106293,19,1,pearson
LeftMidAntTemp_CT    RightMidAntTemp_GMV,0.213262728,0.395503614,0.87313754,19,1,pearson
LeftMidAntTemp_CT    RightMidAntTemp_CT,0.141523594,0.575370257,0.571850116,19,1,pearson
LeftMidAntTemp_CT    RightMidPostTemp_GMV,0.332181381,0.178055029,1.408718886,19,1,pearson
LeftMidAntTemp_CT    RightMidPostTemp_CT,0.700983558,0.001191741,3.931608181,19,1,pearson
LeftMidAntTemp_CT    SSL_accuracy,-0.492687017,0.037773084,-2.264689903,19,1,pearson
LeftMidAntTemp_CT    mean_rt,0.071830048,0.776995608,0.288064293,19,1,pearson
LeftMidAntTemp_CT    scaled_rt_slope,0.045224181,0.858577191,0.181081997,19,1,pearson
LeftMidAntTemp_CT    TSL_subj_corr,0.013238555,0.958420275,0.052958862,19,1,pearson
LeftMidAntTemp_CT    VSL_subj_corr,-0.506456039,0.031972424,-2.349419626,19,1,pearson
LeftMidAntTemp_CT    LSL_subj_corr,0.060485925,0.811559552,0.242387501,19,1,pearson
LeftMidAntTemp_CT    eTIV,1,6.18E-78,241791.6535,19,1,pearson
LeftMidPostTemp_GMV    LeftAngG_GMV,0.327284459,0.184929372,1.385439736,19,1,pearson
LeftMidPostTemp_GMV    LeftAngG_CT,0.02137244,0.932917389,0.085509291,19,1,pearson
LeftMidPostTemp_GMV    LeftIFG_GMV,0.196157859,0.435328768,0.800177013,19,1,pearson
LeftMidPostTemp_GMV    LeftIFG_CT,-0.25293313,0.311225152,-1.045735918,19,1,pearson
LeftMidPostTemp_GMV    LeftIFGorb_GMV,-0.234542728,0.348860519,-0.965091354,19,1,pearson
LeftMidPostTemp_GMV    LeftIFGorb_CT,-0.408686262,0.092202176,-1.79115804,19,1,pearson
LeftMidPostTemp_GMV    LeftMFG_GMV,0.632690899,0.004834219,3.268012792,19,1,pearson
LeftMidPostTemp_GMV    LeftMFG_CT,0.271568829,0.275667421,1.128692695,19,1,pearson
LeftMidPostTemp_GMV    LeftMidAntTemp_GMV,0.352818947,0.150976835,1.508270214,19,1,pearson
LeftMidPostTemp_GMV    LeftMidAntTemp_CT,0.225365529,0.368573845,0.925265228,19,1,pearson
LeftMidPostTemp_GMV    LeftMidPostTemp_CT,0.70448576,0.001098057,3.970510192,19,1,pearson
LeftMidPostTemp_GMV    LeftPostTemp_GMV,0.767235267,0.000202422,4.785009176,19,1,pearson
LeftMidPostTemp_GMV    LeftPostTemp_CT,0.172193113,0.494456881,0.699216499,19,1,pearson
LeftMidPostTemp_GMV    RightMidAntTemp_GMV,0.110427949,0.662684497,0.444429871,19,1,pearson
LeftMidPostTemp_GMV    RightMidAntTemp_CT,0.118064849,0.640797697,0.475585696,19,1,pearson
LeftMidPostTemp_GMV    RightMidPostTemp_GMV,0.448466112,0.061950663,2.007009152,19,1,pearson
LeftMidPostTemp_GMV    RightMidPostTemp_CT,0.363931484,0.137636536,1.562900724,19,1,pearson
LeftMidPostTemp_GMV    SSL_accuracy,-0.298669299,0.22862957,-1.251814166,19,1,pearson
LeftMidPostTemp_GMV    mean_rt,0.312533186,0.206698859,1.316058258,19,1,pearson
LeftMidPostTemp_GMV    scaled_rt_slope,-0.007542427,0.976304161,-0.030170568,19,1,pearson
LeftMidPostTemp_GMV    TSL_subj_corr,0.063857789,0.801248282,0.255953554,19,1,pearson
LeftMidPostTemp_GMV    VSL_subj_corr,-0.252054275,0.312966433,-1.041855381,19,1,pearson
LeftMidPostTemp_GMV    LSL_subj_corr,-0.102403579,0.685964996,-0.411779065,19,1,pearson
LeftMidPostTemp_GMV    eTIV,0.525421856,0.025138357,2.470126963,19,1,pearson
LeftMidPostTemp_CT    LeftAngG_GMV,0.273640063,0.271876923,1.13799506,19,1,pearson
LeftMidPostTemp_CT    LeftAngG_CT,0.120468346,0.63396634,0.485408531,19,1,pearson
LeftMidPostTemp_CT    LeftIFG_GMV,0.000794613,0.997503259,0.003178452,19,1,pearson
LeftMidPostTemp_CT    LeftIFG_CT,-0.091555779,0.717866146,-0.36776776,19,1,pearson
LeftMidPostTemp_CT    LeftIFGorb_GMV,-0.155101217,0.538862082,-0.628004614,19,1,pearson
LeftMidPostTemp_CT    LeftIFGorb_CT,-0.120020285,0.635237731,-0.483576704,19,1,pearson
LeftMidPostTemp_CT    LeftMFG_GMV,0.480369671,0.043616953,2.190802542,19,1,pearson
LeftMidPostTemp_CT    LeftMFG_CT,0.493883755,0.037239058,2.271962674,19,1,pearson
LeftMidPostTemp_CT    LeftMidAntTemp_GMV,0.231910403,0.354452003,0.953640571,19,1,pearson
LeftMidPostTemp_CT    LeftMidAntTemp_CT,0.44761443,0.06250825,2.002241486,19,1,pearson
